X,Y,INDICE,NOME,COMENTARIO,ALTITUDE,DATA,ZONA,NORTHING,EASTING,Turismo,Lat,Long,Turismo_2,icon_url
-43.9006769470214,-21.6948355142377,"1",MG-2238,Alonso,1535.00000,26/07/2018,23K,7600546.52718,613719.32898,Não,-21.69483551420,-43.90067694700,,./0.png
-43.8976200047071,-21.6953199961229,"2",MG-2239,Alvino,1646.00000,26/11/2019 10:10:36,23K,7600490.65007,614035.20100,Não,-21.69531999610,-43.89762000470,,./0.png
-43.8924658621639,-21.6978078117992,"3",MG-1888,Arco do Arlete,1543.00000,26/11/2019 10:13:25,23K,7600211.45438,614566.44917,Não,-21.69780781180,-43.89246586220,,./0.png
-43.8723056018543,-21.7015556029963,"4",MG-1887,Bocão,1621.00000,26/11/2019 10:14:51,23K,7599781.54007,616649.05900,Não,-21.70155560300,-43.87230560190,,./0.png
-43.8722778037585,-21.7016110971037,"5",MG-1889,Bola Gato,1620.00000,26/11/2019 10:15:27,23K,7599775.37607,616651.89000,Não,-21.70161109710,-43.87227780380,,./0.png
-43.8996993887536,-21.7094141450865,"6",MG-42,Bromélias,1435.00000,26/11/2019 10:16:30,23K,7598932.00000,613809.00000,Sim,-21.70941414510,-43.89969938880,"1",./1.png
-43.8919444004433,-21.6969443980696,"7",MG-1920,Buraco do Infarto,1543.00000,26/11/2019 10:17:12,23K,7600306.64607,614621.07900,Não,-21.69694439810,-43.89194440040,,./0.png
-43.8951397979776,-21.7113230029359,"8",MG-438,Casas,1350.00000,26/11/2019 10:17:47,23K,7598717.33707,614279.15400,Não,-21.71132300290,-43.89513979800,,./0.png
-43.8959199954441,-21.7117100010567,"9",MG-91,Coelhos,1380.00000,26/11/2019 10:18:19,23K,7598675.07307,614198.14300,Sim,-21.71171000110,-43.89591999540,"1",./1.png
-43.8975485846738,-21.6970040928001,"10",MG-108,Cruz,1651.00000,26/11/2019 10:19:47,23K,7600304.17324,614041.26343,Sim,-21.69700409280,-43.89754858470,"1",./1.png
-43.8992344764033,-21.6950893501882,"11",MG-1880,Cruzeiro,1650.00000,26/11/2019 10:21:11,23K,7600517.36909,613868.35901,Não,-21.69508935020,-43.89923447640,,./0.png
-43.8999300184997,-21.7017600002075,"12",MG-127,Dobras,1554.00000,26/11/2019 10:21:52,23K,7599800.86848,613770.36081,Não,-21.70176000020,-43.89993001850,,./0.png
-43.8975099991035,-21.6956799975777,"13",MG-2240,Erly,1660.00000,26/11/2019 10:22:23,23K,7600450.71807,614046.29800,Não,-21.69567999760,-43.89750999910,,./0.png
-43.8995922588848,-21.7001923077586,"14",MG-938,Esse,1605.00000,26/11/2019 10:22:55,23K,7599952.75056,613827.33352,Não,-21.70019230780,-43.89959225890,,./0.png
